foodid	foodname	description	yelpid	price	rating	total	restname
110	gnocchi	braised beef short ribs | red wine sauce | parmesan	posto-somerville	22	1	1	Posto
111	lasagne	cauliflower misto | sage pasta | spinach | parmesan & fontina bechamel	posto-somerville	18	5	1	Posto
112	tagliatelle	ragu bolognese | veal | beef | pork | parmesan	posto-somerville	20	4	1	Posto
113	ravioli	white asparagus | ricotta | carrot-ginger brodo | chervil	posto-somerville	21	3	1	Posto
114	spaghetti	spicy tomato amatriciana | pork guanciale | pecorino toscano | basil	posto-somerville	20	2	1	Posto
115	veal	saltimbocca | prosciutto | sage | soft mascarpone polenta | mushrooms | marsala	posto-somerville	23	1	1	Posto
116	pork chop	10 oz grilled | creamy polenta | grilled asparagus | cipollini agrodolce	posto-somerville	23	5	1	Posto
117	chicken	pan roasted | roasted baby carrots & parsnips | chicory	posto-somerville	19	4	1	Posto
118	hanger	8 oz grilled | rosemary gold potatoes | tuscan kale | roasted garlic rosemary sea salt butter	posto-somerville	24	3	1	Posto
119	salmon	wood roasted | red beet risotto | preserved lemon | pickled beet & fris̩e salad | vincotto	posto-somerville	22	2	1	Posto
120	swordfish	grilled | braised artichokes | shrimp | parmesan polenta	posto-somerville	23	1	1	Posto
121	margherita pizza	mozzarella | olive oil | basil | sea salt	posto-somerville	15	5	1	Posto
122	porchetta pizza	fennel roasted pork | fontina | asiago | red onion | oregano	posto-somerville	18	4	1	Posto
123	pepperoni pizza	calabrese salumi | mozzarella | basil | parmesan	posto-somerville	17	3	1	Posto
124	prosciutto pizza	prosciutto di parma | mozzarella | arugula | lemon & anchovy vinaigrette	posto-somerville	21	2	1	Posto
125	caponata pizza	eggplant | roasted grapes | roasted peppers | golden raisins | pine nuts | ricotta | mozzarella	posto-somerville	18	1	1	Posto
126	meatball pizza	beef | pork | veal | mozzarella | oregano | garlic	posto-somerville	17	5	1	Posto
127	marinara pizza	sliced garlic | oregano | parmesan	posto-somerville	12	5	1	Posto
128	asparagus pizza	mozzarella | smoked bacon | farm fresh egg	posto-somerville	18	4	1	Posto
129	mushroom pizza	shiitake | white trumpet | crimini | fontina | spinach | lemon zest	posto-somerville	18	3	1	Posto
130	sausage pizza	fennel sausage | mozzarella | sea salt potato | pistachio pesto	posto-somerville	18	2	1	Posto
131	soppressata pizza	spicy pork salumi | mozzarella | tuscan pepper | oregano | arugula | parmesan	posto-somerville	17	1	1	Posto
132	apple pizza	gorgonzola crema | applewood bacon | caramelized onions | vincotto	posto-somerville	18	5	1	Posto
